area_name,area_type,data_layer,uncertainty_score,year,scientific_name,fish_name,functional_group,commercial_group,country,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
Fiji,eez,Reconstructed domestic catch,2.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Fiji,Subsistence,Landings,Reported,subsistence fishing gear,Direct human consumption,1100.0,5009747.023464293
Fiji,eez,Reconstructed domestic catch,2.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Fiji,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,3454.3154758766,15732042.430345085
Fiji,eez,Reconstructed domestic catch,2.0,1950,Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei",Shrimps,Crustaceans,Fiji,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,2450.8416540984,6006624.813463584
Fiji,eez,Reconstructed domestic catch,2.0,1950,Miscellaneous aquatic invertebrates,Aquatic invertebrates,Other demersal invertebrates,Other fishes & inverts,Fiji,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,747.7144029453,634023.8974418156
Fiji,eez,Reconstructed domestic catch,1.0,1950,Miscellaneous aquatic invertebrates,Aquatic invertebrates,Other demersal invertebrates,Other fishes & inverts,Fiji,Artisanal,Landings,Unreported,hand or tools,Direct human consumption,100.2348875116,84994.10174448845
Fiji,eez,Reconstructed domestic catch,2.0,1950,Bivalvia,Clams,Other demersal invertebrates,Molluscs,Fiji,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,3422.8703779272,11716041.624091491
Fiji,eez,Reconstructed domestic catch,2.0,1950,Gastropoda,Sea snails,Other demersal invertebrates,Molluscs,Fiji,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,1686.5113755321,2844320.6197991422
Fiji,eez,Reconstructed domestic catch,2.0,1950,Holocentridae,"Squirrel-, soldierfishes",Small reef assoc. fish (<30 cm),Other fishes & inverts,Fiji,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,712.7952569269,508077.0782975195
Fiji,eez,Reconstructed domestic catch,2.0,1950,Serranidae,"Basses, groupers, hinds",Medium reef assoc. fish (30 - 89 cm),Perch-likes,Fiji,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,1398.1753116644,1996883.891813144
Fiji,eez,Reconstructed domestic catch,1.0,1950,Serranidae,"Basses, groupers, hinds",Medium reef assoc. fish (30 - 89 cm),Perch-likes,Fiji,Artisanal,Landings,Unreported,harpoon,Direct human consumption,17.4546167033,24928.80731173809
