area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Pacific, Western Central",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Discards,Unreported,longline,Discards,908.3175635957,1331593.5482313475
"Pacific, Western Central",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Discards,Unreported,longline,Discards,19.2128353413,28166.016610289986
"Pacific, Western Central",high_seas,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Discards,Unreported,longline,Discards,3.8182340507,5597.531118260252
"Pacific, Western Central",high_seas,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Philippines",Industrial,Landings,Reported,hand lines,Direct human consumption,96.9876281672,142183.8628931179
"Pacific, Western Central",high_seas,1950,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Japan",Industrial,Discards,Unreported,longline,Discards,143.5574758281,210455.25956401645
"Pacific, Western Central",high_seas,1950,"Istiophoridae","Billfishes","Large pelagics (>=90 cm)","Tuna & billfishes","Japan",Industrial,Discards,Unreported,longline,Discards,77.3245312605,113357.76282789557
"Pacific, Western Central",high_seas,1950,"Isurus","Mako sharks","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Discards,Unreported,longline,Discards,180.1574942438,264110.88656138844
"Pacific, Western Central",high_seas,1950,"Alopias","Thresher sharks","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Discards,Unreported,longline,Discards,40.3264742898,59118.61130882257
"Pacific, Western Central",high_seas,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Japan",Industrial,Discards,Unreported,longline,Discards,103.9867825900,152444.62327696587
"Pacific, Western Central",high_seas,1950,"Acanthocybium solandri","Wahoo","Large pelagics (>=90 cm)","Perch-likes","Japan",Industrial,Discards,Unreported,longline,Discards,70.8015761090,103795.11057584912
"Pacific, Western Central",high_seas,1950,"Katsuwonus pelamis","Skipjack tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Indonesia",Industrial,Discards,Unreported,other,Discards,4.3802346756,6421.4240344032805
"Pacific, Western Central",high_seas,1950,"Katsuwonus pelamis","Skipjack tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Indonesia",Industrial,Landings,Reported,other,Direct human consumption,528.9169846173,5194081.1939401
"Pacific, Western Central",high_seas,1950,"Katsuwonus pelamis","Skipjack tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Japan",Industrial,Discards,Unreported,pole and line,Discards,66.1745680154,97011.91671062472
"Pacific, Western Central",high_seas,1950,"Katsuwonus pelamis","Skipjack tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Japan",Industrial,Landings,Reported,pole and line,Direct human consumption,6676.1521544293,248240166.70908692
"Pacific, Western Central",high_seas,1950,"Katsuwonus pelamis","Skipjack tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Philippines",Industrial,Discards,Unreported,other,Discards,5.5001972548,8063.289175528265
"Pacific, Western Central",high_seas,1950,"Katsuwonus pelamis","Skipjack tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Philippines",Industrial,Discards,Unreported,artisanal fishing gear,Discards,2.1002651781,3078.9887510400113
"Pacific, Western Central",high_seas,1950,"Katsuwonus pelamis","Skipjack tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Philippines",Industrial,Landings,Reported,other,Direct human consumption,556.3126847066,6007564.526296226
"Pacific, Western Central",high_seas,1950,"Katsuwonus pelamis","Skipjack tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Philippines",Industrial,Landings,Reported,artisanal fishing gear,Direct human consumption,211.1668565937,2280369.5685468833
"Pacific, Western Central",high_seas,1950,"Katsuwonus pelamis","Skipjack tuna","Large pelagics (>=90 cm)","Tuna & billfishes","USA",Industrial,Landings,Reported,longline,Direct human consumption,6.7989328829,360391.53670057334
"Pacific, Western Central",high_seas,1950,"Thunnus alalunga","Albacore","Large pelagics (>=90 cm)","Tuna & billfishes","Japan",Industrial,Discards,Unreported,longline,Discards,267.7960346733,392588.9868310754
"Pacific, Western Central",high_seas,1950,"Thunnus alalunga","Albacore","Large pelagics (>=90 cm)","Tuna & billfishes","Japan",Industrial,Landings,Reported,longline,Direct human consumption,3345.3993947604,58585403.645914964
