area_name,area_type,catch_type,commercial_group,country,data_layer,end_use_type,fish_name,fishing_sector,functional_group,gear_type,landed_value,reporting_status,scientific_name,tonnes,uncertainty_score,year
Fiji,eez,Landings,Other fishes & inverts,Fiji,Reconstructed domestic catch,Direct human consumption,Marine fishes nei,Subsistence,Medium demersals (30 - 89 cm),subsistence fishing gear,5009747.023464293,Reported,Marine fishes not identified,1100.0,2.0,1950
Fiji,eez,Landings,Other fishes & inverts,Fiji,Reconstructed domestic catch,Direct human consumption,Marine fishes nei,Subsistence,Medium demersals (30 - 89 cm),subsistence fishing gear,15732042.430345085,Unreported,Marine fishes not identified,3454.3154758766,2.0,1950
Fiji,eez,Landings,Crustaceans,Fiji,Reconstructed domestic catch,Direct human consumption,"Marine crabs, shrimps, lobsters nei",Subsistence,Shrimps,subsistence fishing gear,6006624.813463584,Unreported,Miscellaneous marine crustaceans,2450.8416540984,2.0,1950
Fiji,eez,Landings,Other fishes & inverts,Fiji,Reconstructed domestic catch,Direct human consumption,Aquatic invertebrates,Subsistence,Other demersal invertebrates,subsistence fishing gear,634023.8974418156,Unreported,Miscellaneous aquatic invertebrates,747.7144029453,2.0,1950
Fiji,eez,Landings,Other fishes & inverts,Fiji,Reconstructed domestic catch,Direct human consumption,Aquatic invertebrates,Artisanal,Other demersal invertebrates,hand or tools,84994.10174448845,Unreported,Miscellaneous aquatic invertebrates,100.2348875116,1.0,1950
Fiji,eez,Landings,Molluscs,Fiji,Reconstructed domestic catch,Direct human consumption,Clams,Subsistence,Other demersal invertebrates,subsistence fishing gear,11716041.624091491,Unreported,Bivalvia,3422.8703779272,2.0,1950
Fiji,eez,Landings,Molluscs,Fiji,Reconstructed domestic catch,Direct human consumption,Sea snails,Subsistence,Other demersal invertebrates,subsistence fishing gear,2844320.6197991422,Unreported,Gastropoda,1686.5113755321,2.0,1950
Fiji,eez,Landings,Other fishes & inverts,Fiji,Reconstructed domestic catch,Direct human consumption,"Squirrel-, soldierfishes",Subsistence,Small reef assoc. fish (<30 cm),subsistence fishing gear,508077.0782975195,Unreported,Holocentridae,712.7952569269,2.0,1950
Fiji,eez,Landings,Perch-likes,Fiji,Reconstructed domestic catch,Direct human consumption,"Basses, groupers, hinds",Subsistence,Medium reef assoc. fish (30 - 89 cm),subsistence fishing gear,1996883.891813144,Unreported,Serranidae,1398.1753116644,2.0,1950
Fiji,eez,Landings,Perch-likes,Fiji,Reconstructed domestic catch,Direct human consumption,"Basses, groupers, hinds",Artisanal,Medium reef assoc. fish (30 - 89 cm),harpoon,24928.80731173809,Unreported,Serranidae,17.4546167033,1.0,1950
