year,total_landed_value
1950,41829520214.08796
1951,47181098392.56115
1952,48775744248.75799
1953,49938024411.70095
1954,53425712858.06077
1955,58748576903.168915
1956,61927650821.83494
1957,62145956295.10976
1958,65847140691.91451
1959,70915110909.94589
1960,75237077855.175
1961,86828538811.99121
1962,92047706578.44241
1963,95498479596.25266
1964,105384262410.39859
1965,101571082796.8736
1966,111321067635.39204
1967,120763898850.47232
1968,127728712801.92484
1969,123657459792.84833
1970,134901940127.82144
1971,132939407318.50435
1972,125277347924.60422
1973,130413764386.95834
1974,140848243803.1398
1975,135859380195.23314
1976,143988197801.6424
1977,150845437208.9982
1978,153432760924.25925
1979,152686461577.1798
1980,162571425741.61838
1981,157497382431.3029
1982,170332600975.0442
1983,188735894766.48392
1984,192425987604.05624
1985,186474679391.04507
1986,195620476427.9753
1987,210718009853.7538
1988,225610726556.4713
1989,204713235908.3344
1990,208092819848.38193
1991,219654278969.46378
1992,228550277250.8653
1993,219136001562.38818
1994,224879356519.88516
1995,217296963587.54614
1996,244910734217.42526
1997,224926742545.0376
1998,255140743167.6847
1999,235660652107.7688
2000,245179502952.1818
2001,228378172848.48697
2002,228016988537.08875
2003,226027200319.93262
2004,250745805761.77917
2005,237504514669.12775
2006,236254128798.31088
2007,255312406447.37592
2008,257153072630.712
2009,260720189865.5164
2010,230815517349.48395
2011,224515662960.898
2012,237011952013.97006
2013,274659048657.94687
2014,254936483816.85513
2015,221441261923.8176
2016,235460173144.53018
2017,233092645639.49435
2018,243472497196.01636
